Fuel,Date,CCM,Horse_power,KW,Kms_run,Price,Name
Dízel,2018/12,1 950 cm³,194 LE,143 kW,8 010 km,10 490 000,MERCEDES-BENZ C 220 d 9G-TRONIC FACELIFT! Digit.műszerfal. 360 kamera. Avantgarde és ÁFÁ-s.Nyílt végű!8eKM!
Dízel,2014/6,2 143 cm³,170 LE,125 kW,121 897 km,6 990 000,MERCEDES-BENZ C 220 BlueTEC/d 7G-TRONIC Magyar.1gazdás.Vez.szervízk
Dízel,2017/3,2 143 cm³,170 LE,125 kW,75 000 km,7 990 000,MERCEDES-BENZ C 220 T d 9G-TRONIC Áfá-s
Dízel,2016/8,2 143 cm³,170 LE,125 kW,16 930 km,9 399 000,MERCEDES-BENZ C 220 BlueTEC/d
Dízel,2018/7,2 143 cm³,170 LE,125 kW,22 485 km,9 990 000,MERCEDES-BENZ C 220 d 9G-TRONIC Mo.-i. Garanciális. szervízkönyv!!! ÁFÁS!!!
Dízel,2018/4,2 143 cm³,170 LE,125 kW,40 000 km,10 490 000,MERCEDES-BENZ C 220 d 9G-TRONIC Áfás. ISP. Garancia!
Dízel,2017/8,2 143 cm³,170 LE,125 kW,72 000 km,10 888 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC PLUS ÁFÁS! Coupe! Mo.i. ISP. Garancia. Sok Extra!
Dízel,2018/9,1 950 cm³,194 LE,143 kW,28 541 km,11 590 000,MERCEDES-BENZ C 220 T d 9G-TRONIC mo-i. garancia. ISP. 1 tulajdonos
Dízel,2018/9,1 950 cm³,194 LE,143 kW,5 000 km,11 933 873,MERCEDES-BENZ C 220 d 9G-TRONIC Nettó 9.396.750 Ft + ÁFA
Dízel,2018/3,2 143 cm³,170 LE,125 kW,75 000 km,11 990 000,MERCEDES-BENZ C 220 T d 4Matic 9G-TRONIC Áfás! ISP.AMG Styling!
Dízel,2018/2,2 143 cm³,170 LE,125 kW,42 000 km,12 000 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC M.O.i . ÁFÁS . ISP !
Dízel,2018,1 950 cm³,194 LE,143 kW,18 797 km,12 299 000,MERCEDES-BENZ C 220 T d 9G-TRONIC AMG Line külső6belső!
Dízel,2019/4,1 950 cm³,194 LE,143 kW,20 000 km,12 500 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC M.O.i . ÁFÁS. ISP
Dízel,2019/2,1 950 cm³,194 LE,143 kW,15 000 km,12 560 000,MERCEDES-BENZ C 220 d 9G-TRONIC
Dízel,2018/12,1 950 cm³,194 LE,143 kW,15 981 km,12 990 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC MAGYAR.ÁFÁS. ISP GARANCIA!
Dízel,2018/12,1 950 cm³,194 LE,143 kW,13 277 km,12 990 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC MAGYAR.ÁFÁS. ISP GARANCIA!
Dízel,2018/6,1 950 cm³,194 LE,143 kW,10 000 km,13 082 873,MERCEDES-BENZ C 220 T d 9G-TRONIC Nettó 10.301.474 + 2.781.399 Á
Dízel,2018/12,1 950 cm³,194 LE,143 kW,9 212 km,13 490 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC MAGYAR.ÁFÁS. ISP GARANCIA!
Dízel,2019/4,1 950 cm³,194 LE,143 kW,14 000 km,13 700 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC M.O.i .ÁFÁS .ISP TESZTAUTÓ
Dízel,2018/12,1 950 cm³,194 LE,143 kW,23 233 km,14 490 000,MERCEDES-BENZ C 220 d 4Matic 9G-TRONIC mo-i. áfá-s. garancia. ISP. 1 tulajdonos
Dízel,2018/12,1 950 cm³,194 LE,143 kW,23 535 km,14 490 000,MERCEDES-BENZ C 220 T d 4Matic 9G-TRONIC mo-i. áfá-s. garancia. 1 tulajdonos
Dízel,2019/1,1 950 cm³,194 LE,143 kW,43 000 km,15 300 000,MERCEDES-BENZ C 220 T d 9G-TRONIC ÁFÁS-! ISP !
Dízel,2002,2 148 cm³,143 LE,105 kW,280 325 km,850 000,MERCEDES-BENZ C 220 C CDI . Áfás. klíma
Dízel,2006/11,2 148 cm³,150 LE,110 kW,258 000 km,1 780 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata)
